          Dimensions           Particles         Metro-steps          StepLength                 WF1              Energy          Energy_std          Energy_var             Alpha_0               Epoch               Alpha                Beta
                   3                  10               10000             0.10000             0.49946            14.99510             0.00356             0.00001             0.30000                  11             0.49946             0.00000
                   3                  10               10000             0.10000             0.49969            14.99575             0.00181             0.00000             0.30000                  12             0.49969             0.00000
                   3                  10               10000             0.10000             0.49979            14.99760             0.00074             0.00000             0.30000                  13             0.49979             0.00000
                   3                  10               10000             0.10000             0.49982            14.99765             0.00052             0.00000             0.30000                  14             0.49982             0.00000
                   3                  10               10000             0.10000             0.49984            14.99804             0.00065             0.00000             0.30000                  15             0.49984             0.00000
                   3                  10               10000             0.10000             0.49986            14.99884             0.00102             0.00000             0.30000                  16             0.49986             0.00000
                   3                  10               10000             0.10000             0.49994            14.99943             0.00032             0.00000             0.30000                  17             0.49994             0.00000
                   3                  10               10000             0.10000             0.49995            14.99931             0.00015             0.00000             0.30000                  18             0.49995             0.00000
                   3                  10               10000             0.10000             0.49996            14.99952             0.00018             0.00000             0.30000                  19             0.49996             0.00000
                   3                  10               10000             0.10000             0.49997            14.99954             0.00023             0.00000             0.30000                  20             0.49997             0.00000
                   3                  10               10000             0.10000             0.49998            14.99987             0.00011             0.00000             0.30000                  21             0.49998             0.00000
                   3                  10               10000             0.10000             0.49999            14.99986             0.00002             0.00000             0.30000                  22             0.49999             0.00000
                   3                  10               10000             0.10000             0.49999            14.99986             0.00002             0.00000             0.30000                  23             0.49999             0.00000
                   3                  10               10000             0.10000             0.40000            13.83725             0.47479             0.22542             0.40000                   0             0.40000             0.00000
                   3                  10               10000             0.10000             0.42505            14.96012             0.53783             0.28926             0.40000                   1             0.42505             0.00000
                   3                  10               10000             0.10000             0.46677            14.82520             0.23866             0.05696             0.40000                   2             0.46677             0.00000
                   3                  10               10000             0.10000             0.48449            14.89318             0.09975             0.00995             0.40000                   3             0.48449             0.00000
                   3                  10               10000             0.10000             0.49101            14.86990             0.03449             0.00119             0.40000                   4             0.49101             0.00000
                   3                  10               10000             0.10000             0.49235            14.89048             0.02913             0.00085             0.40000                   5             0.49235             0.00000
                   3                  10               10000             0.10000             0.49346            14.95184             0.05927             0.00351             0.40000                   6             0.49346             0.00000
                   3                  10               10000             0.10000             0.49887            14.98758             0.00634             0.00004             0.40000                   7             0.49887             0.00000
                   3                  10               10000             0.10000             0.49923            14.99081             0.00470             0.00002             0.40000                   8             0.49923             0.00000
                   3                  10               10000             0.10000             0.49952            14.99425             0.00207             0.00000             0.40000                   9             0.49952             0.00000
                   3                  10               10000             0.10000             0.49961            14.99558             0.00131             0.00000             0.40000                  10             0.49961             0.00000
                   3                  10               10000             0.10000             0.49965            14.99681             0.00226             0.00001             0.40000                  11             0.49965             0.00000
                   3                  10               10000             0.10000             0.49980            14.99726             0.00115             0.00000             0.40000                  12             0.49980             0.00000
                   3                  10               10000             0.10000             0.49987            14.99845             0.00049             0.00000             0.40000                  13             0.49987             0.00000
                   3                  10               10000             0.10000             0.49988            14.99847             0.00033             0.00000             0.40000                  14             0.49988             0.00000
                   3                  10               10000             0.10000             0.49989            14.99873             0.00043             0.00000             0.40000                  15             0.49989             0.00000
                   3                  10               10000             0.10000             0.49991            14.99924             0.00066             0.00000             0.40000                  16             0.49991             0.00000
                   3                  10               10000             0.10000             0.49996            14.99963             0.00020             0.00000             0.40000                  17             0.49996             0.00000
                   3                  10               10000             0.10000             0.49997            14.99956             0.00010             0.00000             0.40000                  18             0.49997             0.00000
                   3                  10               10000             0.10000             0.49997            14.99968             0.00011             0.00000             0.40000                  19             0.49997             0.00000
                   3                  10               10000             0.10000             0.49998            14.99970             0.00015             0.00000             0.40000                  20             0.49998             0.00000
                   3                  10               10000             0.10000             0.49999            14.99992             0.00007             0.00000             0.40000                  21             0.49999             0.00000
                   3                  10               10000             0.10000             0.49999            14.99991             0.00001             0.00000             0.40000                  22             0.49999             0.00000
                   3                  10               10000             0.10000             0.50000            14.99991             0.00001             0.00000             0.40000                  23             0.50000             0.00000
                   3                  10               10000             0.10000             0.50000            15.00000             0.00000             0.00000             0.50000                   0             0.50000             0.00000
                   3                  10               10000             0.10000             0.50000            15.00000             0.00000             0.00000             0.50000                   1             0.50000             0.00000
                   3                  10               10000             0.10000             0.60000            16.22421             0.35056             0.12289             0.60000                   0             0.60000             0.00000
                   3                  10               10000             0.10000             0.58883            15.04964             0.56432             0.31846             0.60000                   1             0.58883             0.00000
                   3                  10               10000             0.10000             0.55590            15.31407             0.36328             0.13197             0.60000                   2             0.55590             0.00000
                   3                  10               10000             0.10000             0.53354            15.25627             0.20616             0.04250             0.60000                   3             0.53354             0.00000
                   3                  10               10000             0.10000             0.52128            15.30638             0.08316             0.00692             0.60000                   4             0.52128             0.00000
                   3                  10               10000             0.10000             0.51810            15.25875             0.07032             0.00495             0.60000                   5             0.51810             0.00000
                   3                  10               10000             0.10000             0.51542            15.11925             0.13972             0.01952             0.60000                   6             0.51542             0.00000
                   3                  10               10000             0.10000             0.50295            15.03294             0.01631             0.00027             0.60000                   7             0.50295             0.00000
                   3                  10               10000             0.10000             0.50205            15.02479             0.01265             0.00016             0.60000                   8             0.50205             0.00000
                   3                  10               10000             0.10000             0.50127            15.01572             0.00541             0.00003             0.60000                   9             0.50127             0.00000
                   3                  10               10000             0.10000             0.50104            15.01212             0.00351             0.00001             0.60000                  10             0.50104             0.00000
                   3                  10               10000             0.10000             0.50092            15.00861             0.00613             0.00004             0.60000                  11             0.50092             0.00000
                   3                  10               10000             0.10000             0.50052            15.00732             0.00293             0.00001             0.60000                  12             0.50052             0.00000
                   3                  10               10000             0.10000             0.50035            15.00430             0.00129             0.00000             0.60000                  13             0.50035             0.00000
                   3                  10               10000             0.10000             0.50031            15.00417             0.00089             0.00000             0.60000                  14             0.50031             0.00000
                   3                  10               10000             0.10000             0.50028            15.00340             0.00113             0.00000             0.60000                  15             0.50028             0.00000
                   3                  10               10000             0.10000             0.50023            15.00200             0.00175             0.00000             0.60000                  16             0.50023             0.00000
                   3                  10               10000             0.10000             0.50010            15.00102             0.00054             0.00000             0.60000                  17             0.50010             0.00000
                   3                  10               10000             0.10000             0.50008            15.00115             0.00027             0.00000             0.60000                  18             0.50008             0.00000
                   3                  10               10000             0.10000             0.50007            15.00083             0.00029             0.00000             0.60000                  19             0.50007             0.00000
                   3                  10               10000             0.10000             0.50005            15.00079             0.00039             0.00000             0.60000                  20             0.50005             0.00000
                   3                  10               10000             0.10000             0.50003            15.00021             0.00018             0.00000             0.60000                  21             0.50003             0.00000
                   3                  10               10000             0.10000             0.50001            15.00021             0.00003             0.00000             0.60000                  22             0.50001             0.00000
                   3                  10               10000             0.10000             0.50001            15.00021             0.00003             0.00000             0.60000                  23             0.50001             0.00000
                   3                  10               10000             0.10000             0.70000            17.50553             0.62992             0.39680             0.70000                   0             0.70000             0.00000
                   3                  10               10000             0.10000             0.68347            15.26460             1.10529             1.22168             0.70000                   1             0.68347             0.00000
                   3                  10               10000             0.10000             0.62720            15.74858             0.75047             0.56320             0.70000                   2             0.62720             0.00000
                   3                  10               10000             0.10000             0.58792            15.72103             0.52698             0.27770             0.70000                   3             0.58792             0.00000
                   3                  10               10000             0.10000             0.55889            15.86302             0.23189             0.05377             0.70000                   4             0.55889             0.00000
                   3                  10               10000             0.10000             0.55027            15.71474             0.20115             0.04046             0.70000                   5             0.55027             0.00000
                   3                  10               10000             0.10000             0.54260            15.31967             0.39571             0.15659             0.70000                   6             0.54260             0.00000
                   3                  10               10000             0.10000             0.50734            15.08233             0.04141             0.00171             0.70000                   7             0.50734             0.00000
                   3                  10               10000             0.10000             0.50503            15.06121             0.03118             0.00097             0.70000                   8             0.50503             0.00000
                   3                  10               10000             0.10000             0.50310            15.03850             0.01359             0.00018             0.70000                   9             0.50310             0.00000
                   3                  10               10000             0.10000             0.50251            15.02941             0.00863             0.00007             0.70000                  10             0.50251             0.00000
                   3                  10               10000             0.10000             0.50221            15.02201             0.01449             0.00021             0.70000                  11             0.50221             0.00000
                   3                  10               10000             0.10000             0.50127            15.01798             0.00727             0.00005             0.70000                  12             0.50127             0.00000
                   3                  10               10000             0.10000             0.50085            15.01057             0.00316             0.00001             0.70000                  13             0.50085             0.00000
                   3                  10               10000             0.10000             0.50074            15.01027             0.00214             0.00000             0.70000                  14             0.50074             0.00000
                   3                  10               10000             0.10000             0.50068            15.00840             0.00274             0.00001             0.70000                  15             0.50068             0.00000
                   3                  10               10000             0.10000             0.50056            15.00487             0.00424             0.00002             0.70000                  16             0.50056             0.00000
                   3                  10               10000             0.10000             0.50024            15.00252             0.00128             0.00000             0.70000                  17             0.50024             0.00000
                   3                  10               10000             0.10000             0.50018            15.00276             0.00064             0.00000             0.70000                  18             0.50018             0.00000
