          Dimensions           Particles         Metro-steps               Omega          StepLength                 WF1              Energy          Energy_std          Energy_var       Accept_number        Accept_ratio        Imposampling          Analytical
                   3                  10               32768             1.00000             1.00000             0.60000            15.29805             0.68989             0.47595               15594             0.47589                   1                   1
                   3                  10               32768             1.00000             1.00000             0.70000            15.85634             1.31825             1.73778               12608             0.38477                   1                   1
                   3                  10               32768             1.00000             1.00000             0.80000            16.58717             1.81969             3.31129               10071             0.30734                   1                   1
                   3                  10               32768             1.00000             1.10000             0.20000            21.74433             4.04068            16.32708               28385             0.86624                   1                   1
                   3                  10               32768             1.00000             1.10000             0.30000            16.95772             2.05695             4.23106               25017             0.76346                   1                   1
                   3                  10               32768             1.00000             1.10000             0.40000            15.34258             0.84403             0.71238               21204             0.64709                   1                   1
                   3                  10               32768             1.00000             1.10000             0.60000            15.25932             0.69286             0.48005               13781             0.42056                   1                   1
                   3                  10               32768             1.00000             1.10000             0.70000            15.78746             1.29232             1.67009               10820             0.33020                   1                   1
                   3                  10               32768             1.00000             1.10000             0.80000            16.69441             1.83800             3.37824                8082             0.24664                   1                   1
                   3                  10               32768             1.00000             1.20000             0.20000            21.72423             3.99235            15.93887               27793             0.84818                   1                   1
                   3                  10               32768             1.00000             1.20000             0.30000            16.93638             2.04328             4.17498               23978             0.73175                   1                   1
                   3                  10               32768             1.00000             1.20000             0.40000            15.35630             0.84691             0.71726               19826             0.60504                   1                   1
                   3                  10               32768             1.00000             1.20000             0.60000            15.26085             0.70889             0.50252               12063             0.36813                   1                   1
                   3                  10               32768             1.00000             1.20000             0.70000            15.87539             1.25951             1.58637                8994             0.27448                   1                   1
                   3                  10               32768             1.00000             1.20000             0.80000            16.75564             1.81901             3.30878                6558             0.20013                   1                   1
                   3                  10               32768             1.00000             1.30000             0.20000            21.72902             4.03176            16.25506               27199             0.83005                   1                   1
                   3                  10               32768             1.00000             1.30000             0.30000            16.92342             2.02924             4.11782               22927             0.69968                   1                   1
                   3                  10               32768             1.00000             1.30000             0.40000            15.35730             0.85614             0.73298               18421             0.56216                   1                   1
                   3                  10               32768             1.00000             1.30000             0.60000            15.22449             0.70723             0.50018               10567             0.32248                   1                   1
                   3                  10               32768             1.00000             1.30000             0.70000            15.92278             1.25813             1.58288                7486             0.22845                   1                   1
                   3                  10               32768             1.00000             1.30000             0.80000            16.57067             2.01264             4.05074                5386             0.16437                   1                   1
                   3                  10               32768             1.00000             1.40000             0.20000            21.70692             4.06820            16.55027               26613             0.81216                   1                   1
                   3                  10               32768             1.00000             1.40000             0.30000            16.93360             2.01110             4.04452               21900             0.66833                   1                   1
                   3                  10               32768             1.00000             1.40000             0.40000            15.33605             0.84840             0.71979               16941             0.51700                   1                   1
                   3                  10               32768             1.00000             1.40000             0.60000            15.25976             0.67349             0.45359                8994             0.27448                   1                   1
                   3                  10               32768             1.00000             1.40000             0.70000            15.90813             1.34146             1.79951                6254             0.19086                   1                   1
                   3                  10               32768             1.00000             1.40000             0.80000            16.73488             1.96599             3.86513                4273             0.13040                   1                   1
                   3                  10               32768             1.00000             1.50000             0.20000            21.70924             4.07375            16.59548               25989             0.79312                   1                   1
                   3                  10               32768             1.00000             1.50000             0.30000            16.93686             1.99724             3.98897               20850             0.63629                   1                   1
                   3                  10               32768             1.00000             1.50000             0.40000            15.31604             0.84668             0.71687               15594             0.47589                   1                   1
                   3                  10               32768             1.00000             1.50000             0.60000            15.28014             0.67782             0.45944                7702             0.23505                   1                   1
                   3                  10               32768             1.00000             1.50000             0.70000            15.97085             1.38120             1.90772                5185             0.15823                   1                   1
                   3                  10               32768             1.00000             1.50000             0.80000            16.62224             2.04985             4.20187                3504             0.10693                   1                   1
                   3                  10               32768             1.00000             1.60000             0.20000            21.66201             4.06071            16.48938               25346             0.77350                   1                   1
                   3                  10               32768             1.00000             1.60000             0.30000            16.95566             2.00750             4.03005               19826             0.60504                   1                   1
                   3                  10               32768             1.00000             1.60000             0.40000            15.34423             0.85635             0.73333               14387             0.43906                   1                   1
                   3                  10               32768             1.00000             1.60000             0.60000            15.29382             0.71879             0.51665                6606             0.20160                   1                   1
                   3                  10               32768             1.00000             1.60000             0.70000            15.76088             1.28393             1.64849                4349             0.13272                   1                   1
                   3                  10               32768             1.00000             1.60000             0.80000            16.25138             1.76097             3.10102                2815             0.08591                   1                   1
                   3                  10               32768             1.00000             1.70000             0.20000            21.63890             4.01184            16.09483               24650             0.75226                   1                   1
                   3                  10               32768             1.00000             1.70000             0.30000            16.95619             2.04344             4.17564               18754             0.57233                   1                   1
                   3                  10               32768             1.00000             1.70000             0.40000            15.38316             0.84977             0.72211               13216             0.40332                   1                   1
                   3                  10               32768             1.00000             1.70000             0.60000            15.26631             0.70209             0.49293                5647             0.17233                   1                   1
                   3                  10               32768             1.00000             1.70000             0.70000            15.95871             1.29093             1.66650                3489             0.10648                   1                   1
                   3                  10               32768             1.00000             1.70000             0.80000            16.81942             1.77060             3.13503                2295             0.07004                   1                   1
                   3                  10               32768             1.00000             1.80000             0.20000            21.62474             4.02270            16.18212               23978             0.73175                   1                   1
                   3                  10               32768             1.00000             1.80000             0.30000            16.93543             2.02487             4.10010               17697             0.54007                   1                   1
                   3                  10               32768             1.00000             1.80000             0.40000            15.36169             0.87000             0.75690               12063             0.36813                   1                   1
                   3                  10               32768             1.00000             1.80000             0.60000            15.28505             0.76222             0.58098                4779             0.14584                   1                   1
                   3                  10               32768             1.00000             1.80000             0.70000            16.05673             1.17278             1.37542                3026             0.09235                   1                   1
                   3                  10               32768             1.00000             1.80000             0.80000            16.36923             2.09122             4.37318                1899             0.05795                   1                   1
                   3                  10               32768             1.00000             1.90000             0.20000            21.64610             3.99604            15.96835               23313             0.71146                   1                   1
                   3                  10               32768             1.00000             1.90000             0.30000            16.87168             2.01288             4.05167               16568             0.50562                   1                   1
                   3                  10               32768             1.00000             1.90000             0.40000            15.40397             0.86821             0.75379               11084             0.33826                   1                   1
                   3                  10               32768             1.00000             1.90000             0.60000            15.22352             0.67362             0.45376                4120             0.12573                   1                   1
                   3                  10               32768             1.00000             1.90000             0.70000            15.74374             1.24562             1.55157                2594             0.07916                   1                   1
                   3                  10               32768             1.00000             1.90000             0.80000            16.62951             2.07188             4.29269                1491             0.04550                   1                   1
                   3                  10               32768             1.00000             2.00000             0.20000            21.62298             3.97949            15.83635               22599             0.68967                   1                   1
                   3                  10               32768             1.00000             2.00000             0.30000            16.86023             2.00695             4.02786               15594             0.47589                   1                   1
                   3                  10               32768             1.00000             2.00000             0.40000            15.42131             0.83986             0.70536               10071             0.30734                   1                   1
                   3                  10               32768             1.00000             2.00000             0.60000            15.25595             0.72515             0.52584                3516             0.10730                   1                   1
                   3                  10               32768             1.00000             2.00000             0.70000            15.64273             1.35621             1.83932                2142             0.06537                   1                   1
                   3                  10               32768             1.00000             2.00000             0.80000            16.89660             1.77839             3.16267                1277             0.03897                   1                   1
                   3                  10               32768             1.00000             2.10000             0.20000            21.61928             3.95935            15.67647               21900             0.66833                   1                   1
                   3                  10               32768             1.00000             2.10000             0.30000            16.91856             2.01890             4.07596               14697             0.44852                   1                   1
                   3                  10               32768             1.00000             2.10000             0.40000            15.36302             0.82655             0.68319                8994             0.27448                   1                   1
                   3                  10               32768             1.00000             2.10000             0.60000            15.16950             0.71383             0.50956                3047             0.09299                   1                   1
                   3                  10               32768             1.00000             2.10000             0.70000            15.50688             1.26843             1.60891                1679             0.05124                   1                   1
                   3                  10               32768             1.00000             2.10000             0.80000            16.23253             1.94171             3.77025                1063             0.03244                   1                   1
                   3                  10               32768             1.00000             2.20000             0.20000            21.59870             3.93879            15.51408               21204             0.64709                   1                   1
                   3                  10               32768             1.00000             2.20000             0.30000            16.97287             2.01558             4.06257               13781             0.42056                   1                   1
                   3                  10               32768             1.00000             2.20000             0.40000            15.36998             0.84954             0.72171                8084             0.24670                   1                   1
                   3                  10               32768             1.00000             2.20000             0.60000            15.21169             0.72224             0.52163                2616             0.07983                   1                   1
                   3                  10               32768             1.00000             2.20000             0.70000            15.33592             1.41207             1.99395                1541             0.04703                   1                   1
                   3                  10               32768             1.00000             2.20000             0.80000            15.94667             2.05777             4.23440                 844             0.02576                   1                   1
                   3                  10               32768             1.00000             2.30000             0.20000            21.65433             3.95778            15.66399               20533             0.62662                   1                   1
                   3                  10               32768             1.00000             2.30000             0.30000            17.00503             2.04402             4.17800               12928             0.39453                   1                   1
                   3                  10               32768             1.00000             2.30000             0.40000            15.35441             0.88430             0.78199                7349             0.22427                   1                   1
                   3                  10               32768             1.00000             2.30000             0.60000            15.23909             0.72667             0.52804                2222             0.06781                   1                   1
                   3                  10               32768             1.00000             2.30000             0.70000            15.89675             1.29970             1.68921                1287             0.03928                   1                   1
                   3                  10               32768             1.00000             2.30000             0.80000            18.11739             1.06555             1.13541                 775             0.02365                   1                   1
                   3                  10               32768             1.00000             2.40000             0.20000            21.66271             3.95226            15.62037               19826             0.60504                   1                   1
                   3                  10               32768             1.00000             2.40000             0.30000            16.96844             2.06222             4.25274               12063             0.36813                   1                   1
                   3                  10               32768             1.00000             2.40000             0.40000            15.32584             0.88749             0.78763                6596             0.20129                   1                   1
                   3                  10               32768             1.00000             2.40000             0.60000            15.36555             0.62134             0.38606                1860             0.05676                   1                   1
                   3                  10               32768             1.00000             2.40000             0.70000            16.38422             1.03565             1.07257                1079             0.03293                   1                   1
                   3                  10               32768             1.00000             2.40000             0.80000            17.33390             1.50306             2.25919                 623             0.01901                   1                   1
                   3                  10               32768             1.00000             2.50000             0.20000            21.63447             3.98226            15.85839               19072             0.58203                   1                   1
                   3                  10               32768             1.00000             2.50000             0.30000            17.05615             2.05922             4.24038               11349             0.34634                   1                   1
                   3                  10               32768             1.00000             2.50000             0.40000            15.35162             0.87012             0.75711                5918             0.18060                   1                   1
                   3                  10               32768             1.00000             2.50000             0.60000            15.30652             0.65616             0.43055                1690             0.05157                   1                   1
                   3                  10               32768             1.00000             2.50000             0.70000            15.88650             0.92670             0.85877                 909             0.02774                   1                   1
                   3                  10               32768             1.00000             2.50000             0.80000            13.99235             1.61599             2.61143                 435             0.01328                   1                   1
                   3                  10               32768             1.00000             2.60000             0.20000            21.66738             3.99532            15.96262               18421             0.56216                   1                   1
                   3                  10               32768             1.00000             2.60000             0.30000            17.07422             2.05741             4.23293               10567             0.32248                   1                   1
                   3                  10               32768             1.00000             2.60000             0.40000            15.37343             0.90642             0.82159                5373             0.16397                   1                   1
                   3                  10               32768             1.00000             2.60000             0.60000            15.53652             0.54104             0.29272                1425             0.04349                   1                   1
                   3                  10               32768             1.00000             2.60000             0.70000            16.08082             1.03380             1.06874                 799             0.02438                   1                   1
                   3                  10               32768             1.00000             2.60000             0.80000            16.04774             1.52889             2.33750                 448             0.01367                   1                   1
                   3                  10               32768             1.00000             2.70000             0.20000            21.62288             3.98647            15.89191               17697             0.54007                   1                   1
                   3                  10               32768             1.00000             2.70000             0.30000            17.01646             1.96580             3.86436                9784             0.29858                   1                   1
                   3                  10               32768             1.00000             2.70000             0.40000            15.30744             0.84667             0.71686                4779             0.14584                   1                   1
                   3                  10               32768             1.00000             2.70000             0.60000            15.35599             0.62956             0.39635                1244             0.03796                   1                   1
                   3                  10               32768             1.00000             2.70000             0.70000            16.00799             1.08470             1.17658                 704             0.02148                   1                   1
                   3                  10               32768             1.00000             2.70000             0.80000            17.39131             1.16987             1.36859                 408             0.01245                   1                   1
                   3                  10               32768             1.00000             2.80000             0.20000            21.56821             3.95921            15.67532               16941             0.51700                   1                   1
                   3                  10               32768             1.00000             2.80000             0.30000            16.97162             1.95924             3.83863                8994             0.27448                   1                   1
                   3                  10               32768             1.00000             2.80000             0.40000            15.11822             0.81973             0.67195                4288             0.13086                   1                   1
                   3                  10               32768             1.00000             2.80000             0.60000            15.57685             0.46798             0.21901                1044             0.03186                   1                   1
                   3                  10               32768             1.00000             2.80000             0.70000            16.59406             0.83826             0.70267                 617             0.01883                   1                   1
                   3                  10               32768             1.00000             2.80000             0.80000            17.98911             0.97385             0.94838                 357             0.01089                   1                   1
                   3                  10               32768             1.00000             2.90000             0.20000            21.50193             3.91304            15.31191               16237             0.49551                   1                   1
                   3                  10               32768             1.00000             2.90000             0.30000            17.08846             2.04766             4.19291                8343             0.25461                   1                   1
                   3                  10               32768             1.00000             2.90000             0.40000            15.46647             0.87549             0.76649                4007             0.12228                   1                   1
                   3                  10               32768             1.00000             2.90000             0.60000            15.19927             0.64617             0.41753                 952             0.02905                   1                   1
