          Dimensions           Particles         Metro-steps               Omega          StepLength                 WF1              Energy          Energy_std          Energy_var       Accept_number        Accept_ratio        Imposampling          Analytical
                   3                  10               32768             1.00000             1.00000             0.60000            15.30877             0.67707             0.45843               23319             0.71164                   0                   1
                   3                  10               32768             1.00000             1.00000             0.70000            15.87320             1.30584             1.70521               22606             0.68988                   0                   1
                   3                  10               32768             1.00000             1.00000             0.80000            16.75049             1.87885             3.53008               22003             0.67148                   0                   1
                   3                  10               32768             1.00000             1.10000             0.20000            21.46040             3.90376            15.23935               26601             0.81180                   0                   1
                   3                  10               32768             1.00000             1.10000             0.30000            16.96333             2.02368             4.09529               25331             0.77304                   0                   1
                   3                  10               32768             1.00000             1.10000             0.40000            15.36237             0.86683             0.75140               24289             0.74124                   0                   1
                   3                  10               32768             1.00000             1.10000             0.60000            15.31498             0.69251             0.47957               22442             0.68488                   0                   1
                   3                  10               32768             1.00000             1.10000             0.70000            15.93445             1.29270             1.67108               21602             0.65924                   0                   1
                   3                  10               32768             1.00000             1.10000             0.80000            16.93399             1.81224             3.28420               20941             0.63907                   0                   1
                   3                  10               32768             1.00000             1.20000             0.20000            21.59471             3.98309            15.86502               26075             0.79575                   0                   1
                   3                  10               32768             1.00000             1.20000             0.30000            16.98839             2.07311             4.29780               24695             0.75363                   0                   1
                   3                  10               32768             1.00000             1.20000             0.40000            15.32164             0.83123             0.69094               23520             0.71777                   0                   1
                   3                  10               32768             1.00000             1.20000             0.60000            15.30526             0.71045             0.50474               21500             0.65613                   0                   1
                   3                  10               32768             1.00000             1.20000             0.70000            16.01941             1.27801             1.63331               20652             0.63025                   0                   1
                   3                  10               32768             1.00000             1.20000             0.80000            16.90876             1.81403             3.29069               19999             0.61032                   0                   1
                   3                  10               32768             1.00000             1.30000             0.20000            21.74495             4.08019            16.64792               25591             0.78098                   0                   1
                   3                  10               32768             1.00000             1.30000             0.30000            16.90080             2.07965             4.32494               24025             0.73318                   0                   1
                   3                  10               32768             1.00000             1.30000             0.40000            15.33100             0.89969             0.80944               22753             0.69437                   0                   1
                   3                  10               32768             1.00000             1.30000             0.60000            15.32337             0.68091             0.46364               20623             0.62936                   0                   1
                   3                  10               32768             1.00000             1.30000             0.70000            16.02187             1.30514             1.70338               19819             0.60483                   0                   1
                   3                  10               32768             1.00000             1.30000             0.80000            16.89861             1.85439             3.43875               19066             0.58185                   0                   1
                   3                  10               32768             1.00000             1.40000             0.20000            21.65692             4.08477            16.68534               25049             0.76443                   0                   1
                   3                  10               32768             1.00000             1.40000             0.30000            16.90246             2.07422             4.30240               23447             0.71555                   0                   1
                   3                  10               32768             1.00000             1.40000             0.40000            15.32867             0.84684             0.71713               22018             0.67194                   0                   1
                   3                  10               32768             1.00000             1.40000             0.60000            15.32662             0.67852             0.46039               19859             0.60605                   0                   1
                   3                  10               32768             1.00000             1.40000             0.70000            15.89599             1.29622             1.68018               18979             0.57919                   0                   1
                   3                  10               32768             1.00000             1.40000             0.80000            16.84298             1.84459             3.40251               18101             0.55240                   0                   1
                   3                  10               32768             1.00000             1.50000             0.20000            21.92467             4.21486            17.76505               24598             0.75067                   0                   1
                   3                  10               32768             1.00000             1.50000             0.30000            16.84813             2.03992             4.16127               22766             0.69476                   0                   1
                   3                  10               32768             1.00000             1.50000             0.40000            15.34796             0.86341             0.74548               21325             0.65079                   0                   1
                   3                  10               32768             1.00000             1.50000             0.60000            15.33767             0.68374             0.46750               19030             0.58075                   0                   1
                   3                  10               32768             1.00000             1.50000             0.70000            15.94632             1.28416             1.64906               18149             0.55386                   0                   1
                   3                  10               32768             1.00000             1.50000             0.80000            16.85264             1.80089             3.24321               17245             0.52628                   0                   1
                   3                  10               32768             1.00000             1.60000             0.20000            21.81416             4.16360            17.33557               24044             0.73376                   0                   1
                   3                  10               32768             1.00000             1.60000             0.30000            16.95291             2.07075             4.28801               22181             0.67691                   0                   1
                   3                  10               32768             1.00000             1.60000             0.40000            15.24720             0.85621             0.73310               20601             0.62869                   0                   1
                   3                  10               32768             1.00000             1.60000             0.60000            15.33672             0.67415             0.45447               18228             0.55627                   0                   1
                   3                  10               32768             1.00000             1.60000             0.70000            15.90456             1.27661             1.62973               17327             0.52878                   0                   1
                   3                  10               32768             1.00000             1.60000             0.80000            16.89283             1.81148             3.28148               16337             0.49857                   0                   1
                   3                  10               32768             1.00000             1.70000             0.20000            21.49732             4.08142            16.65799               23468             0.71619                   0                   1
                   3                  10               32768             1.00000             1.70000             0.30000            16.80904             2.02039             4.08198               21519             0.65671                   0                   1
                   3                  10               32768             1.00000             1.70000             0.40000            15.28118             0.83720             0.70090               19923             0.60800                   0                   1
                   3                  10               32768             1.00000             1.70000             0.60000            15.33078             0.69318             0.48050               17483             0.53354                   0                   1
                   3                  10               32768             1.00000             1.70000             0.70000            15.99404             1.24314             1.54539               16528             0.50439                   0                   1
                   3                  10               32768             1.00000             1.70000             0.80000            16.82696             1.76976             3.13204               15598             0.47601                   0                   1
                   3                  10               32768             1.00000             1.80000             0.20000            21.44241             4.03136            16.25188               22924             0.69958                   0                   1
                   3                  10               32768             1.00000             1.80000             0.30000            16.96068             2.07838             4.31965               20843             0.63608                   0                   1
                   3                  10               32768             1.00000             1.80000             0.40000            15.28358             0.83262             0.69325               19345             0.59036                   0                   1
                   3                  10               32768             1.00000             1.80000             0.60000            15.29514             0.68689             0.47182               16749             0.51114                   0                   1
                   3                  10               32768             1.00000             1.80000             0.70000            15.98422             1.25880             1.58457               15670             0.47821                   0                   1
                   3                  10               32768             1.00000             1.80000             0.80000            16.84391             1.84283             3.39602               14753             0.45023                   0                   1
                   3                  10               32768             1.00000             1.90000             0.20000            21.75575             4.14436            17.17574               22434             0.68463                   0                   1
                   3                  10               32768             1.00000             1.90000             0.30000            16.84552             1.98392             3.93593               20267             0.61850                   0                   1
                   3                  10               32768             1.00000             1.90000             0.40000            15.25693             0.81447             0.66336               18601             0.56766                   0                   1
                   3                  10               32768             1.00000             1.90000             0.60000            15.27726             0.71575             0.51230               16036             0.48938                   0                   1
                   3                  10               32768             1.00000             1.90000             0.70000            15.82989             1.29731             1.68301               14951             0.45627                   0                   1
                   3                  10               32768             1.00000             1.90000             0.80000            16.68601             1.80773             3.26789               14105             0.43045                   0                   1
                   3                  10               32768             1.00000             2.00000             0.20000            21.65652             4.01511            16.12108               21885             0.66788                   0                   1
                   3                  10               32768             1.00000             2.00000             0.30000            16.73196             1.89815             3.60297               19749             0.60269                   0                   1
                   3                  10               32768             1.00000             2.00000             0.40000            15.25931             0.85167             0.72534               18052             0.55090                   0                   1
                   3                  10               32768             1.00000             2.00000             0.60000            15.27977             0.69281             0.47999               15294             0.46674                   0                   1
                   3                  10               32768             1.00000             2.00000             0.70000            15.89527             1.30608             1.70585               14164             0.43225                   0                   1
                   3                  10               32768             1.00000             2.00000             0.80000            16.70742             1.89371             3.58613               13267             0.40488                   0                   1
                   3                  10               32768             1.00000             2.10000             0.20000            21.37116             3.95402            15.63426               21398             0.65302                   0                   1
                   3                  10               32768             1.00000             2.10000             0.30000            16.91382             1.99974             3.99895               19148             0.58435                   0                   1
                   3                  10               32768             1.00000             2.10000             0.40000            15.32646             0.80229             0.64367               17358             0.52972                   0                   1
