          Dimensions           Particles         Metro-steps          StepLength                 WF1              Energy          Energy_std          Energy_var             Alpha_0               Epoch               Alpha                Beta
                   3                  10               65536             1.50000             0.49973            15.00016             0.00220             0.00000             0.30000                  28             0.49973             0.00000
                   3                  10               65536             1.50000             0.49979            15.00004             0.00164             0.00000             0.30000                  29             0.49979             0.00000
                   3                  10               65536             1.50000             0.49983            14.99998             0.00135             0.00000             0.30000                  30             0.49983             0.00000
                   3                  10               65536             1.50000             0.49986            14.99998             0.00107             0.00000             0.30000                  31             0.49986             0.00000
                   3                  10               65536             1.50000             0.49988            14.99998             0.00107             0.00000             0.30000                  32             0.49988             0.00000
                   3                  10               65536             1.50000             0.40000            15.36038             0.90362             0.81653             0.40000                   0             0.40000             0.00000
                   3                  10               65536             1.50000             0.42747            15.18802             0.58804             0.34579             0.40000                   1             0.42747             0.00000
                   3                  10               65536             1.50000             0.44304            15.09890             0.46800             0.21902             0.40000                   2             0.44304             0.00000
                   3                  10               65536             1.50000             0.45538            15.06468             0.36835             0.13568             0.40000                   3             0.45538             0.00000
                   3                  10               65536             1.50000             0.46502            15.04149             0.27338             0.07474             0.40000                   4             0.46502             0.00000
                   3                  10               65536             1.50000             0.47172            15.03348             0.23140             0.05355             0.40000                   5             0.47172             0.00000
                   3                  10               65536             1.50000             0.47762            15.01658             0.17730             0.03143             0.40000                   6             0.47762             0.00000
                   3                  10               65536             1.50000             0.48197            15.01532             0.14471             0.02094             0.40000                   7             0.48197             0.00000
                   3                  10               65536             1.50000             0.48556            15.00295             0.10967             0.01203             0.40000                   8             0.48556             0.00000
                   3                  10               65536             1.50000             0.48811            15.00655             0.09731             0.00947             0.40000                   9             0.48811             0.00000
                   3                  10               65536             1.50000             0.49056            15.00377             0.07289             0.00531             0.40000                  10             0.49056             0.00000
                   3                  10               65536             1.50000             0.49228            15.00271             0.05954             0.00355             0.40000                  11             0.49228             0.00000
                   3                  10               65536             1.50000             0.49368            15.00203             0.04779             0.00228             0.40000                  12             0.49368             0.00000
                   3                  10               65536             1.50000             0.49478            15.00301             0.04103             0.00168             0.40000                  13             0.49478             0.00000
                   3                  10               65536             1.50000             0.49576            15.00222             0.03193             0.00102             0.40000                  14             0.49576             0.00000
                   3                  10               65536             1.50000             0.49649            15.00070             0.02674             0.00071             0.40000                  15             0.49649             0.00000
                   3                  10               65536             1.50000             0.49711            15.00016             0.02194             0.00048             0.40000                  16             0.49711             0.00000
                   3                  10               65536             1.50000             0.49761            14.99973             0.01863             0.00035             0.40000                  17             0.49761             0.00000
                   3                  10               65536             1.50000             0.49805            15.00204             0.01607             0.00026             0.40000                  18             0.49805             0.00000
                   3                  10               65536             1.50000             0.49845            15.00090             0.01136             0.00013             0.40000                  19             0.49845             0.00000
                   3                  10               65536             1.50000             0.49871            15.00118             0.01094             0.00012             0.40000                  20             0.49871             0.00000
                   3                  10               65536             1.50000             0.49899            15.00057             0.00783             0.00006             0.40000                  21             0.49899             0.00000
                   3                  10               65536             1.50000             0.49917            15.00036             0.00653             0.00004             0.40000                  22             0.49917             0.00000
                   3                  10               65536             1.50000             0.49933            15.00006             0.00508             0.00003             0.40000                  23             0.49933             0.00000
                   3                  10               65536             1.50000             0.49944            15.00008             0.00427             0.00002             0.40000                  24             0.49944             0.00000
                   3                  10               65536             1.50000             0.49954            15.00024             0.00358             0.00001             0.40000                  25             0.49954             0.00000
                   3                  10               65536             1.50000             0.49963            15.00018             0.00292             0.00001             0.40000                  26             0.49963             0.00000
                   3                  10               65536             1.50000             0.49970            15.00016             0.00250             0.00001             0.40000                  27             0.49970             0.00000
                   3                  10               65536             1.50000             0.49976            14.99999             0.00192             0.00000             0.40000                  28             0.49976             0.00000
                   3                  10               65536             1.50000             0.49981            15.00003             0.00143             0.00000             0.40000                  29             0.49981             0.00000
                   3                  10               65536             1.50000             0.49984            14.99990             0.00122             0.00000             0.40000                  30             0.49984             0.00000
                   3                  10               65536             1.50000             0.49987            14.99990             0.00122             0.00000             0.40000                  31             0.49987             0.00000
                   3                  10               65536             1.50000             0.50000            15.00000             0.00000             0.00000             0.50000                   0             0.50000             0.00000
                   3                  10               65536             1.50000             0.50000            15.00000             0.00000             0.00000             0.50000                   1             0.50000             0.00000
                   3                  10               65536             1.50000             0.60000            15.24398             0.72674             0.52815             0.60000                   0             0.60000             0.00000
                   3                  10               65536             1.50000             0.58546            15.20776             0.58422             0.34131             0.60000                   1             0.58546             0.00000
                   3                  10               65536             1.50000             0.57432            15.14362             0.54923             0.30166             0.60000                   2             0.57432             0.00000
                   3                  10               65536             1.50000             0.56288            15.09921             0.45244             0.20470             0.60000                   3             0.56288             0.00000
                   3                  10               65536             1.50000             0.55361            15.07946             0.41007             0.16816             0.60000                   4             0.55361             0.00000
                   3                  10               65536             1.50000             0.54459            15.03285             0.34755             0.12079             0.60000                   5             0.54459             0.00000
                   3                  10               65536             1.50000             0.53674            15.03404             0.28073             0.07881             0.60000                   6             0.53674             0.00000
                   3                  10               65536             1.50000             0.53048            15.02805             0.23028             0.05303             0.60000                   7             0.53048             0.00000
                   3                  10               65536             1.50000             0.52536            15.02125             0.18709             0.03500             0.60000                   8             0.52536             0.00000
                   3                  10               65536             1.50000             0.52129            15.00566             0.16882             0.02850             0.60000                   9             0.52129             0.00000
                   3                  10               65536             1.50000             0.51732            15.00448             0.13158             0.01731             0.60000                  10             0.51732             0.00000
                   3                  10               65536             1.50000             0.51434            15.00586             0.10699             0.01145             0.60000                  11             0.51434             0.00000
                   3                  10               65536             1.50000             0.51196            15.00412             0.08895             0.00791             0.60000                  12             0.51196             0.00000
                   3                  10               65536             1.50000             0.50998            15.00082             0.07754             0.00601             0.60000                  13             0.50998             0.00000
                   3                  10               65536             1.50000             0.50818            14.99836             0.06082             0.00370             0.60000                  14             0.50818             0.00000
                   3                  10               65536             1.50000             0.50682            15.00292             0.05206             0.00271             0.60000                  15             0.50682             0.00000
                   3                  10               65536             1.50000             0.50562            15.00220             0.04265             0.00182             0.60000                  16             0.50562             0.00000
                   3                  10               65536             1.50000             0.50465            15.00151             0.03528             0.00124             0.60000                  17             0.50465             0.00000
                   3                  10               65536             1.50000             0.50384            14.99787             0.03003             0.00090             0.60000                  18             0.50384             0.00000
