          Dimensions           Particles         Metro-steps          StepLength                 WF1              Energy          Energy_std          Energy_var             Alpha_0               Epoch               Alpha                Beta
                   3                  30              131072             1.50000             0.49571            46.43745             0.08455             0.00715             0.51000                   3             0.49571             0.00000
                   3                  30              131072             1.50000             0.49449            46.43769             0.05967             0.00356             0.51000                   4             0.49449             0.00000
                   3                  30              131072             1.50000             0.49375            46.43472             0.05413             0.00293             0.51000                   5             0.49375             0.00000
                   3                  30              131072             1.50000             0.49337            46.43587             0.05480             0.00300             0.51000                   6             0.49337             0.00000
                   3                  30              131072             1.50000             0.49313            46.43869             0.05484             0.00301             0.51000                   7             0.49313             0.00000
                   3                  30              131072             1.50000             0.49294            46.43799             0.05517             0.00304             0.51000                   8             0.49294             0.00000
                   3                  30              131072             1.50000             0.49292            46.43799             0.05517             0.00304             0.51000                   9             0.49292             0.00000
                   3                  50              131072             1.50000             0.51000            79.01728             0.38644             0.14934             0.51000                   0             0.51000             0.00000
                   3                  50              131072             1.50000             0.49681            78.96496             0.16839             0.02836             0.51000                   1             0.49681             0.00000
                   3                  50              131072             1.50000             0.49190            78.93831             0.10486             0.01100             0.51000                   2             0.49190             0.00000
                   3                  50              131072             1.50000             0.48997            78.93956             0.09974             0.00995             0.51000                   3             0.48997             0.00000
                   3                  50              131072             1.50000             0.48943            78.94177             0.11141             0.01241             0.51000                   4             0.48943             0.00000
                   3                  50              131072             1.50000             0.48948            78.94089             0.10027             0.01005             0.51000                   5             0.48948             0.00000
                   3                  50              131072             1.50000             0.48934            78.93298             0.08866             0.00786             0.51000                   6             0.48934             0.00000
                   3                  50              131072             1.50000             0.48902            78.93904             0.09910             0.00982             0.51000                   7             0.48902             0.00000
                   3                  50              131072             1.50000             0.48908            78.94780             0.11257             0.01267             0.51000                   8             0.48908             0.00000
                   3                  50              131072             1.50000             0.48907            78.94780             0.11257             0.01267             0.51000                   9             0.48907             0.00000
