     Dimensions      Particles    Metro-steps          Omega     StepLength            WF1         Energy     Energy_std     Energy_var  Accept_number   Accept_ratio
              3              1        1000000        1.00000        0.10000        0.10000        3.67177        2.83431        8.03330         988198        0.98820
              3              1        1000000        1.00000        0.10000        0.20000        2.11409        1.30682        1.70778         983257        0.98326
              3              1        1000000        1.00000        0.10000        0.30000        1.68025        0.67832        0.46012         979447        0.97945
              3              1        1000000        1.00000        0.10000        0.40000        1.53148        0.28405        0.08069         976212        0.97621
              3              1        1000000        1.00000        0.10000        0.50000        1.50000        0.00000        0.00000         973264        0.97326
              3              1        1000000        1.00000        0.10000        0.60000        1.52478        0.23420        0.05485         970600        0.97060
              3              1        1000000        1.00000        0.10000        0.70000        1.58280        0.43592        0.19003         968145        0.96815
              3              1        1000000        1.00000        0.10000        0.80000        1.66311        0.61851        0.38256         965843        0.96584
              3              1        1000000        1.00000        0.10000        0.90000        1.76103        0.78692        0.61924         963751        0.96375
              3              1        1000000        1.00000        0.10000        1.00000        1.86684        0.95005        0.90260         961725        0.96173
              3              1        1000000        1.00000        0.10000        1.10000        1.98196        1.10041        1.21091         959883        0.95988
              3             10        1000000        1.00000        0.10000        0.10000       37.81645        7.66240       58.71242         988074        0.98807
              3             10        1000000        1.00000        0.10000        0.20000       21.49083        3.32746       11.07199         983186        0.98319
              3             10        1000000        1.00000        0.10000        0.30000       16.88656        1.74115        3.03160         979403        0.97940
              3             10        1000000        1.00000        0.10000        0.40000       15.34421        0.74274        0.55166         976002        0.97600
              3             10        1000000        1.00000        0.10000        0.50000       15.00000        0.00000        0.00000         973087        0.97309
              3             10        1000000        1.00000        0.10000        0.60000       15.26483        0.63190        0.39930         970547        0.97055
              3             10        1000000        1.00000        0.10000        0.70000       15.88870        1.20953        1.46297         968120        0.96812
              3             10        1000000        1.00000        0.10000        0.80000       16.70959        1.77702        3.15781         965911        0.96591
              3             10        1000000        1.00000        0.10000        0.90000       17.72592        2.29728        5.27751         963768        0.96377
              3             10        1000000        1.00000        0.10000        1.00000       18.80137        2.79276        7.79950         961842        0.96184
              3             10        1000000        1.00000        0.10000        1.10000       19.92922        3.29477       10.85549         959920        0.95992
              3            100        1000000        1.00000        0.50000        0.10000      389.31135       30.42248      925.52717         940217        0.94022
              3            100        1000000        1.00000        0.50000        0.20000      216.92752       12.96624      168.12349         915562        0.91556
              3            100        1000000        1.00000        0.50000        0.30000      169.68549        6.68713       44.71777         896420        0.89642
              3            100        1000000        1.00000        0.50000        0.40000      153.65671        2.73964        7.50564         880209        0.88021
              3            100        1000000        1.00000        0.50000        0.50000      150.00000        0.00000        0.00000         866068        0.86607
              3            100        1000000        1.00000        0.50000        0.60000      152.60774        2.20509        4.86241         853403        0.85340
              3            100        1000000        1.00000        0.50000        0.70000      158.81098        4.18774       17.53719         841590        0.84159
              3            100        1000000        1.00000        0.50000        0.80000      167.01901        6.06882       36.83058         830671        0.83067
              3            100        1000000        1.00000        0.50000        0.90000      176.86722        7.79146       60.70677         820548        0.82055
              3            100        1000000        1.00000        0.50000        1.00000      187.69631        9.59957       92.15180         811080        0.81108
              3            100        1000000        1.00000        0.50000        1.10000      199.63683       10.92400      119.33376         801987        0.80199
              3            500        1000000        1.00000        1.00000        0.10000     1889.50715       35.63797     1270.06497         878325        0.87833
              3            500        1000000        1.00000        1.00000        0.20000     1060.16065       16.97674      288.20961         828122        0.82812
              3            500        1000000        1.00000        1.00000        0.30000      835.86302        9.05802       82.04774         790698        0.79070
              3            500        1000000        1.00000        1.00000        0.40000      763.07045        3.59371       12.91478         758626        0.75863
              3            500        1000000        1.00000        1.00000        0.50000      750.00000        0.00000        0.00000         731879        0.73188
              3            500        1000000        1.00000        1.00000        0.60000      767.18247        3.00229        9.01375         707568        0.70757
              3            500        1000000        1.00000        1.00000        0.70000      801.45256        5.76664       33.25414         685113        0.68511
              3            500        1000000        1.00000        1.00000        0.80000      846.85920        7.95932       63.35083         665280        0.66528
              3            500        1000000        1.00000        1.00000        0.90000      898.80896        9.57379       91.65753         646660        0.64666
              3            500        1000000        1.00000        1.00000        1.00000      956.15156       11.56105      133.65798         629482        0.62948
              3            500        1000000        1.00000        1.00000        1.10000     1017.25426       13.85479      191.95523         612718        0.61272
