          Dimensions           Particles         Metro-steps            Eq-steps          StepLength                Time          Analytical              Energy          Energy_std
                   3                  15              150000              100000             0.20000            13119546                   0            22.78238             0.69135
                   3                  15              150000              100000             0.20000             3938439                   1            22.78238             0.69135
                   3                  15              150000              100000             0.20000            14412337                   0            22.78238             0.69135
                   3                  15              150000              100000             0.20000             3891212                   1            22.78238             0.69135
                   3                  15              150000              100000             0.20000            13161260                   0            22.78238             0.69135
                   3                  20              200000              100000             0.20000             6679084                   1            30.47132             0.76730
                   3                  20              200000              100000             0.20000            24536827                   0            30.47132             0.76730
                   3                  20              200000              100000             0.20000             6120930                   1            30.47132             0.76730
                   3                  20              200000              100000             0.20000            25929062                   0            30.47132             0.76730
                   3                  20              200000              100000             0.20000             6077143                   1            30.47132             0.76730
                   3                  20              200000              100000             0.20000            25539609                   0            30.47132             0.76730
                   3                  20              200000              100000             0.20000             6271637                   1            30.47132             0.76730
                   3                  20              200000              100000             0.20000            23584426                   0            30.47132             0.76730
                   3                  20              200000              100000             0.20000             6796822                   1            30.47132             0.76730
                   3                  20              200000              100000             0.20000            23145592                   0            30.47132             0.76730
                   3                  20              200000              100000             0.20000             7624038                   1            30.47132             0.76730
                   3                  20              200000              100000             0.20000            25960685                   0            30.47132             0.76730
                   3                  20              200000              100000             0.20000             8430190                   1            30.47132             0.76730
                   3                  20              200000              100000             0.20000            23957423                   0            30.47132             0.76730
                   3                  20              200000              100000             0.20000             6927603                   1            30.47132             0.76730
                   3                  20              200000              100000             0.20000            24528449                   0            30.47132             0.76730
                   3                  20              200000              100000             0.20000             6245725                   1            30.47132             0.76730
                   3                  20              200000              100000             0.20000            29244765                   0            30.47132             0.76730
                   3                  20              200000              100000             0.20000             8399818                   1            30.47132             0.76730
                   3                  20              200000              100000             0.20000            31032028                   0            30.47132             0.76730
                   3                  25              249999              100000             0.20000            10440407                   1            38.02554             0.83501
                   3                  25              249999              100000             0.20000            40897557                   0            38.02554             0.83501
                   3                  25              249999              100000             0.20000            10714752                   1            38.02554             0.83501
                   3                  25              249999              100000             0.20000            37988431                   0            38.02554             0.83501
                   3                  25              249999              100000             0.20000            10728420                   1            38.02554             0.83501
                   3                  25              249999              100000             0.20000            37205566                   0            38.02554             0.83501
                   3                  25              249999              100000             0.20000            10919771                   1            38.02554             0.83501
                   3                  25              249999              100000             0.20000            37920619                   0            38.02554             0.83501
                   3                  25              249999              100000             0.20000             9892102                   1            38.02554             0.83501
                   3                  25              249999              100000             0.20000            41684634                   0            38.02554             0.83501
                   3                  25              249999              100000             0.20000             9618049                   1            38.02554             0.83501
                   3                  25              249999              100000             0.20000            36902894                   0            38.02554             0.83501
                   3                  25              249999              100000             0.20000             9944040                   1            38.02554             0.83501
                   3                  25              249999              100000             0.20000            42033233                   0            38.02554             0.83501
                   3                  25              249999              100000             0.20000             9657338                   1            38.02554             0.83501
                   3                  25              249999              100000             0.20000            41770267                   0            38.02554             0.83501
                   3                  25              249999              100000             0.20000            10503906                   1            38.02554             0.83501
                   3                  25              249999              100000             0.20000            40886143                   0            38.02554             0.83501
                   3                  25              249999              100000             0.20000            10532739                   1            38.02554             0.83501
                   3                  25              249999              100000             0.20000            40904454                   0            38.02554             0.83501
                   3                  30              300000              100000             0.20000            14142909                   1            45.55211             0.89988
                   3                  30              300000              100000             0.20000            59492980                   0            45.55211             0.89988
                   3                  30              300000              100000             0.20000            15262151                   1            45.55211             0.89988
                   3                  30              300000              100000             0.20000            58667070                   0            45.55211             0.89988
                   3                  30              300000              100000             0.20000            13919104                   1            45.55211             0.89988
                   3                  30              300000              100000             0.20000            53295835                   0            45.55211             0.89988
                   3                  30              300000              100000             0.20000            16334548                   1            45.55211             0.89988
                   3                  30              300000              100000             0.20000            62281523                   0            45.55211             0.89988
                   3                  30              300000              100000             0.20000            14099676                   1            45.55211             0.89988
                   3                  30              300000              100000             0.20000            61480037                   0            45.55211             0.89988
                   3                  30              300000              100000             0.20000            14059424                   1            45.55211             0.89988
                   3                  30              300000              100000             0.20000            60465727                   0            45.55211             0.89988
                   3                  30              300000              100000             0.20000            15204792                   1            45.55211             0.89988
                   3                  30              300000              100000             0.20000            55903719                   0            45.55211             0.89988
                   3                  30              300000              100000             0.20000            15735030                   1            45.55211             0.89988
                   3                  30              300000              100000             0.20000            53698467                   0            45.55211             0.89988
                   3                  30              300000              100000             0.20000            14454694                   1            45.55211             0.89988
                   3                  30              300000              100000             0.20000            62479110                   0            45.55211             0.89988
                   3                  30              300000              100000             0.20000            13962838                   1            45.55211             0.89988
                   3                  30              300000              100000             0.20000            61796300                   0            45.55211             0.89988
                   3                  40              400000              100000             0.20000            27320118                   1            60.58902             1.11724
                   3                  40              400000              100000             0.20000           108138881                   0            60.58902             1.11724
                   3                  40              400000              100000             0.20000            25514319                   1            60.58902             1.11724
                   3                  40              400000              100000             0.20000           106960275                   0            60.58902             1.11724
                   3                  40              400000              100000             0.20000            27611955                   1            60.58902             1.11724
                   3                  40              400000              100000             0.20000           111737220                   0            60.58902             1.11724
                   3                  40              400000              100000             0.20000            25402523                   1            60.58902             1.11724
                   3                  40              400000              100000             0.20000           106678835                   0            60.58902             1.11724
                   3                  40              400000              100000             0.20000            24724803                   1            60.58902             1.11724
                   3                  40              400000              100000             0.20000            96800444                   0            60.58902             1.11724
                   3                  40              400000              100000             0.20000            24940380                   1            60.58902             1.11724
                   3                  40              400000              100000             0.20000           105115059                   0            60.58902             1.11724
                   3                  40              400000              100000             0.20000            25456876                   1            60.58902             1.11724
                   3                  40              400000              100000             0.20000           105792491                   0            60.58902             1.11724
                   3                  40              400000              100000             0.20000            25226859                   1            60.58902             1.11724
                   3                  40              400000              100000             0.20000           105210348                   0            60.58902             1.11724
                   3                  40              400000              100000             0.20000            27268729                   1            60.58902             1.11724
                   3                  40              400000              100000             0.20000           103726964                   0            60.58902             1.11724
                   3                  40              400000              100000             0.20000            25161073                   1            60.58902             1.11724
                   3                  40              400000              100000             0.20000           117688004                   0            60.58902             1.11724
                   3                  50              499999              100000             0.20000            43663512                   1            75.80956             1.16544
                   3                  50              499999              100000             0.20000           171004274                   0            75.80956             1.16544
                   3                  50              499999              100000             0.20000            44454068                   1            75.80956             1.16544
                   3                  50              499999              100000             0.20000           165255365                   0            75.80956             1.16544
                   3                  50              499999              100000             0.20000            39856715                   1            75.80956             1.16544
                   3                  50              499999              100000             0.20000           166582116                   0            75.80956             1.16544
                   3                  50              499999              100000             0.20000            38174831                   1            75.80956             1.16544
                   3                  50              499999              100000             0.20000           148686124                   0            75.80956             1.16544
                   3                  50              499999              100000             0.20000            38660593                   1            75.80956             1.16544
                   3                  50              499999              100000             0.20000           161420291                   0            75.80956             1.16544
                   3                  50              499999              100000             0.20000            42375801                   1            75.80956             1.16544
                   3                  50              499999              100000             0.20000           169361770                   0            75.80956             1.16544
                   3                  50              499999              100000             0.20000            40933660                   1            75.80956             1.16544
                   3                  50              499999              100000             0.20000           169815216                   0            75.80956             1.16544
                   3                  50              499999              100000             0.20000            40128423                   1            75.80956             1.16544
                   3                  50              499999              100000             0.20000           169597041                   0            75.80956             1.16544
                   3                  50              499999              100000             0.20000            43242379                   1            75.80956             1.16544
                   3                  50              499999              100000             0.20000           165025643                   0            75.80956             1.16544
                   3                  50              499999              100000             0.20000            44436221                   1            75.80956             1.16544
                   3                  50              499999              100000             0.20000           172093128                   0            75.80956             1.16544
