     Dimensions      Particles    Metro-steps          Omega     StepLength            WF1         Energy     Energy_std     Energy_var  Accept_number   Accept_ratio
              1              1        1000000        1.00000        0.10000        0.10000        1.38008        1.75108        3.06628         993436        0.99344
              1              1        1000000        1.00000        0.10000        0.20000        0.71793        0.70130        0.49183         991115        0.99111
              1              1        1000000        1.00000        0.10000        0.30000        0.55840        0.35156        0.12360         989277        0.98928
              1              1        1000000        1.00000        0.10000        0.40000        0.50899        0.14967        0.02240         987639        0.98764
              1              1        1000000        1.00000        0.10000        0.50000        0.50000        0.00000        0.00000         986156        0.98616
              1              1        1000000        1.00000        0.10000        0.60000        0.51074        0.12334        0.01521         984816        0.98482
              1              1        1000000        1.00000        0.10000        0.70000        0.53277        0.23228        0.05395         983583        0.98358
              1              1        1000000        1.00000        0.10000        0.80000        0.55876        0.33769        0.11404         982394        0.98239
              1              1        1000000        1.00000        0.10000        0.90000        0.59058        0.43293        0.18743         981271        0.98127
              1              1        1000000        1.00000        0.10000        1.00000        0.62609        0.52640        0.27710         980231        0.98023
              1              1        1000000        1.00000        0.10000        1.10000        0.66389        0.61158        0.37403         979260        0.97926
              1             10        1000000        1.00000        0.10000        0.10000       14.92811        7.50275       56.29119         993385        0.99338
              1             10        1000000        1.00000        0.10000        0.20000        7.83735        2.83342        8.02828         990712        0.99071
              1             10        1000000        1.00000        0.10000        0.30000        5.89264        1.33578        1.78432         988676        0.98868
              1             10        1000000        1.00000        0.10000        0.40000        5.21313        0.53928        0.29082         986906        0.98691
              1             10        1000000        1.00000        0.10000        0.50000        5.00000        0.00000        0.00000         985384        0.98538
              1             10        1000000        1.00000        0.10000        0.60000        5.01348        0.42280        0.17876         983987        0.98399
              1             10        1000000        1.00000        0.10000        0.70000        5.17281        0.78820        0.62126         982711        0.98271
              1             10        1000000        1.00000        0.10000        0.80000        5.41183        1.11598        1.24542         981528        0.98153
              1             10        1000000        1.00000        0.10000        0.90000        5.71193        1.42185        2.02166         980450        0.98045
              1             10        1000000        1.00000        0.10000        1.00000        6.07633        1.69066        2.85834         979437        0.97944
              1             10        1000000        1.00000        0.10000        1.10000        6.44720        1.98100        3.92435         978483        0.97848
              1            100        1000000        1.00000        0.50000        0.10000      127.91355       17.35909      301.33812         968794        0.96879
              1            100        1000000        1.00000        0.50000        0.20000       71.27531        7.11390       50.60752         955851        0.95585
              1            100        1000000        1.00000        0.50000        0.30000       56.18265        3.58983       12.88688         945844        0.94584
              1            100        1000000        1.00000        0.50000        0.40000       51.05429        1.46057        2.13327         937423        0.93742
              1            100        1000000        1.00000        0.50000        0.50000       50.00000        0.00000        0.00000         930129        0.93013
              1            100        1000000        1.00000        0.50000        0.60000       50.98560        1.19175        1.42027         923356        0.92336
              1            100        1000000        1.00000        0.50000        0.70000       53.12787        2.25761        5.09682         917303        0.91730
              1            100        1000000        1.00000        0.50000        0.80000       55.96644        3.19764       10.22490         911772        0.91177
              1            100        1000000        1.00000        0.50000        0.90000       59.30206        4.01128       16.09035         906488        0.90649
              1            100        1000000        1.00000        0.50000        1.00000       62.91680        4.97091       24.70995         901298        0.90130
              1            100        1000000        1.00000        0.50000        1.10000       66.81215        5.75193       33.08473         896570        0.89657
              1            500        1000000        1.00000        1.00000        0.10000      659.77079       33.85427     1146.11159         937202        0.93720
              1            500        1000000        1.00000        1.00000        0.20000      367.80029       14.80693      219.24532         911296        0.91130
              1            500        1000000        1.00000        1.00000        0.30000      285.73050        7.86814       61.90760         891725        0.89172
              1            500        1000000        1.00000        1.00000        0.40000      256.86473        3.33212       11.10300         875022        0.87502
              1            500        1000000        1.00000        1.00000        0.50000      250.00000        0.00000        0.00000         860469        0.86047
              1            500        1000000        1.00000        1.00000        0.60000      253.72900        2.75482        7.58906         847698        0.84770
              1            500        1000000        1.00000        1.00000        0.70000      263.51471        5.10739       26.08545         835751        0.83575
              1            500        1000000        1.00000        1.00000        0.80000      277.07296        7.60166       57.78524         824506        0.82451
              1            500        1000000        1.00000        1.00000        0.90000      293.02080        9.80388       96.11610         814510        0.81451
              1            500        1000000        1.00000        1.00000        1.00000      311.01485       11.99369      143.84866         804531        0.80453
              1            500        1000000        1.00000        1.00000        1.10000      330.28277       13.73978      188.78151         795570        0.79557
