n Particles;n Dimensions;n Metropolis Steps;Equilibration Fraction;Accepted Steps;Found Energy;Elapsed Time;n Parameters;Parameters (undefinedNumber)
1;1;10000;0.1;0.731303;0.500049;0.0199464;2;0.498652;0.001
1;2;10000;0.1;0.595399;1.00001;0.0239036;2;0.499533;0.001
1;3;10000;0.1;0.506167;1.50003;0.053891;2;0.499643;0.001
10;1;10000;0.1;0.730003;4.99999;0.85771;2;0.499896;0.001
10;2;10000;0.1;0.596266;10.001;1.78922;2;0.493553;0.001
10;3;10000;0.1;0.50819;15;2.52725;2;0.499991;0.001
100;1;10000;0.1;0.728853;50;75.7935;2;0.499994;0.001
100;2;10000;0.1;0.595576;100;147.876;2;0.500002;0.001
100;3;10000;0.1;0.50605;150;218.301;2;0.500002;0.001
